v1,v2
ham,"I'm on my way, will reach soon."
ham,Can you help me with my project?
spam,Exclusive offer just for you! Limited time only.
spam,Act now to receive your free bonus.
spam,Exclusive offer just for you! Limited time only.
spam,Act now to receive your free bonus.
spam,You have been selected for a $1000 gift card.
spam,This is not spam! Claim money now.
ham,"I'm busy right now, text later."
spam,Win a brand new iPhone by entering this contest!
ham,Thanks for your help yesterday!
spam,You are chosen for a free vacation trip!
ham,I will send you the assignment tonight.
ham,I will send you the assignment tonight.
ham,See you in class tomorrow.
spam,Congratulations! You have won a free prize. Click here to claim.
spam,You are chosen for a free vacation trip!
ham,Can you help me with my project?
ham,Can you help me with my project?
ham,Can you help me with my project?
ham,Let's go out for lunch today.
ham,See you in class tomorrow.
spam,Exclusive offer just for you! Limited time only.
spam,URGENT! Your account has been compromised. Verify now.
ham,See you in class tomorrow.
ham,Don't forget to bring your notebook.
spam,Your loan has been approved. Contact now!
spam,Congratulations! You have won a free prize. Click here to claim.
ham,"Hey, are we still meeting tomorrow?"
ham,Don't forget to bring your notebook.
spam,URGENT! Your account has been compromised. Verify now.
ham,Don't forget to bring your notebook.
ham,See you in class tomorrow.
ham,I will send you the assignment tonight.
ham,See you in class tomorrow.
spam,This is not spam! Claim money now.
spam,Exclusive offer just for you! Limited time only.
spam,Claim your free reward before it expires.
ham,Please call me when you are free.
spam,This is not spam! Claim money now.
ham,See you in class tomorrow.
ham,Let's go out for lunch today.
ham,Don't forget to bring your notebook.
spam,Act now to receive your free bonus.
ham,"I'm on my way, will reach soon."
ham,I will send you the assignment tonight.
spam,Exclusive offer just for you! Limited time only.
ham,Let's go out for lunch today.
spam,URGENT! Your account has been compromised. Verify now.
spam,This is not spam! Claim money now.
spam,Your loan has been approved. Contact now!
spam,Claim your free reward before it expires.
ham,See you in class tomorrow.
ham,Please call me when you are free.
ham,Thanks for your help yesterday!
spam,You are chosen for a free vacation trip!
ham,Don't forget to bring your notebook.
ham,Let's go out for lunch today.
spam,You have been selected for a $1000 gift card.
spam,Exclusive offer just for you! Limited time only.
ham,Please call me when you are free.
spam,Win a brand new iPhone by entering this contest!
spam,Congratulations! You have won a free prize. Click here to claim.
ham,"I'm on my way, will reach soon."
spam,Win a brand new iPhone by entering this contest!
spam,This is not spam! Claim money now.
ham,"I'm busy right now, text later."
spam,You have been selected for a $1000 gift card.
spam,Win a brand new iPhone by entering this contest!
spam,Act now to receive your free bonus.
ham,"I'm busy right now, text later."
